Project Name,Number of Revisions,Number of Authors,Number of Source Files,Number of Source LOC,Date of First Commit
phoenix,3713,177,2148,500791,2014-01-27
pig,3719,44,1791,401283,2007-10-29
pivot,4660,15,934,176879,2008-06-05
plc4x,6607,92,3931,696285,2017-10-16
poi,12456,45,3694,701629,2002-01-31
polygene-java,5820,49,2795,263986,2007-03-04
portals-pluto,2976,38,1634,335190,2003-09-30
ant-antlibs-props,65,6,23,1652,2007-06-25
qpid,14182,51,118,27049,2006-09-14
creadur-rat,1378,23,173,16658,2008-03-11
reef,3875,91,2233,182676,2012-08-01
regexp,0,0,0,0,0
river-container,36,2,143,17374,2013-05-27
roller,4717,29,612,96824,2005-06-07
sandesha,884,20,227,43878,2006-06-15
santuario-xml-security-java,1337,14,606,125835,2010-12-15
juddi-scout,556,11,179,34798,2004-11-09
servicemix,407,21,129,8029,2011-06-29
shale,0,0,0,0,0
shindig,4786,42,1019,167221,2007-12-11
shiro,2410,90,791,89129,2005-07-14
skywalking,7467,488,1746,154742,2015-11-07
sling-old-svn-mirror,4,2,0,0,2017-10-21
solr,36373,391,4236,981157,2001-09-11
spark,35602,2639,1096,145457,2010-03-29
sis,8261,21,2920,745486,2010-03-20
sqoop,969,38,719,130992,2011-06-14
mina-sshd,2640,76,1324,204892,2008-12-04
stanbol,3404,25,1661,274101,2010-11-15
storm,10525,504,2433,426062,2011-09-15
stratos,8951,84,1438,189665,2013-06-29
struts,6494,113,2092,323231,2006-02-22
synapse,4328,51,1295,177971,2005-08-22
syncope,7974,63,2855,342870,2010-04-29
tajo,2275,51,1860,334785,2011-12-09
tapestry-5,5697,55,3334,313875,2007-04-24
creadur-tentacles,263,8,32,2620,2011-09-27
velocity-texen,0,0,0,0,0
tez,2924,85,1161,273014,2013-03-15
thirft,0,0,0,0,0
tika,6815,149,1656,258363,2007-03-31
tiles,1465,16,291,33931,2004-12-30
myfaces-tobago,12404,29,836,81538,2004-04-22
tomcat,24799,129,2599,613376,2006-03-27
tomee,14645,158,6155,820137,2006-01-02
db-torque,0,0,0,0,0
turbine-core,2109,32,376,66709,2001-08-16
tuscany-sdo,530,15,286,89528,2005-12-18
uima-uimaj,7697,23,1866,457719,2006-11-02
velocity-engine,4405,26,397,66721,2000-09-30
velocity-dvsl,0,0,0,0,0
velocity-tools,1835,16,142,44667,2002-01-03
ant-antlibs-vss,15,5,19,2388,2010-09-01
vxquery,1156,15,756,73379,2009-07-20
mina-vysper,773,11,775,82610,2009-04-21
whirr,569,16,275,29273,2010-06-01
creadur-whisker,659,8,107,11178,2011-08-06
wicket,21311,147,3285,422825,2004-09-21
wink,895,15,1372,210153,2009-06-08
wookie,1921,13,295,48523,2007-10-14
xalan-java,4563,34,961,352671,1999-11-09
xerces2-j,5510,34,833,260479,1999-11-09
xindice,0,0,0,0,0
xmlbeans,1827,24,1279,216888,2003-09-02
xml-commons-external,0,0,0,0,0
xml-commons-resolver,0,0,0,0,0
xmlgraphics-commons,606,16,400,67671,2006-02-20
yetus,1418,96,14,1121,2015-09-17
zeppelin,5218,540,880,212246,2013-06-18
zookeeper,2450,254,912,180614,2008-05-19
